token,tfidf_score
zuckerberg speaks,5.31748811353631
000,5.31748811353631
000 employees,5.31748811353631
01,5.31748811353631
01 _x000d_,5.31748811353631
xbox cloud,5.31748811353631
xbox,5.31748811353631
wwdc,5.31748811353631
wsj says,5.31748811353631
writes meta,5.31748811353631
writes google,5.31748811353631
wrap bn,5.31748811353631
wrap,5.31748811353631
workloads,5.31748811353631
working on,5.31748811353631
working,5.31748811353631
workers opinion,5.31748811353631
workers,5.31748811353631
2024 barrons,5.31748811353631
2023 takeaways,5.31748811353631
